PULocationID,trips,total_fare,total_tips,total_revenue,sum_distance,avg_fare,avg_distance
166,65849,1415662.62,113571.27,1820261.67,228188.45,21.498619872739148,3.4653290103114704
167,3649,112495.91,251.41,124887.79,24319.46,30.829243628391342,6.664691696355166
168,8281,243160.08,1745.19,277979.79,49335.02,29.363613090206496,5.9576162299239215
169,3085,95603.12,167.7,105222.69,21260.31,30.98966612641815,6.89151053484603
170,268157,4630112.46,704579.66,6939192.32,634242.37,17.266423997881837,2.3651904294872033
171,984,30642.97,173.92,35530.56,7432.64,31.141229674796747,7.55349593495935
172,87,3583.23,105.72,4250.8,628.77,41.18655172413793,7.227241379310344
173,1928,52282.98,354.34000000000003,60159.06,10268.06,27.117728215767638,5.325757261410788
174,2652,95899.12,175.64,106391.98,24673.85,36.16105580693816,9.303865007541477
175,619,22390.88,224.68,25966.46,5768.57,36.172665589660745,9.319176090468497
176,47,1756.75,115.66,2320.05,362.51,37.37765957446808,7.712978723404255
177,8347,274557.81,542.45,301227.8,52776.94,32.89299269198514,6.322863304181143
178,948,29565.24,94.77,32095.29,5427.46,31.186962025316458,5.725168776371308
179,9543,280979.26,4689.17,339157.81,52105.01,29.443493660274548,5.460024101435607
180,1504,46722.39,830.59,53093.17,9397.41,31.065418882978722,6.248277925531915
181,13077,427247.99,10168.92,498143.63,73548.23,32.6717129311004,5.624243327980423
182,3932,140195.12,841.34,156500.18,34866.19,35.65491353001017,8.867291454730418
183,903,32228.13,205.57,36095.7,8547.05,35.69006644518272,9.46517165005537
184,97,3949.65,46.45,4319.46,1019.97,40.718041237113404,10.515154639175258
185,1951,68820.36,186.48,76663.53,17200.21,35.27440287032291,8.81609943618657
186,316687,5529290.69,983028.85,8338171.06,726960.21,17.459796865674942,2.2955164247348327
187,23,874.12,12.74,1091.56,166.92,38.00521739130435,7.257391304347825
188,12693,395069.02,2929.94,438181.92,72727.18,31.124952335933195,5.729707712912629
189,5413,181631.79,4495.21,209241.16,29801.01,33.55473674487345,5.505451690375023
190,845,26917.42,703.87,31196.08,4519.2,31.8549349112426,5.348165680473373
191,3157,120728.34,296.71,135165.53,31567.25,38.24147608489072,9.999128919860627
192,941,29642.24,322.37,33965.63,6717.9,31.500786397449524,7.139107332624866
193,5955,163779.19,3537.75,196826.03,28775.13,27.5028026868178,4.8320957178841315
194,432,20353.97,2035.82,25720.86,2639.06,47.1156712962963,6.108935185185185
195,3793,149096.28,5981.51,176869.8,28749.75,39.30827313472186,7.579686264170841
196,3076,103027.82,2734.17,119952.94,19443.32,33.49408972691808,6.320975292587776
197,6651,244511.61,9061.25,278764.52,42040.95,36.7631348669373,6.320996842580063
198,5916,178104.39,2065.63,205783.47,28698.25,30.105542596348887,4.850955037187289
199,6,314.3,62.42,431.1,60.0,52.38333333333333,10.0
200,1460,57176.46,574.5,65870.18000000001,13927.13,39.16195890410959,9.539130136986302
201,816,38462.41,156.61,41137.07,10277.0,47.135306372549024,12.594362745098039
202,1792,60401.66,1461.51,69690.56,11377.68,33.70628348214286,6.349151785714286
203,1514,66187.78,1192.32,74719.55,18405.37,43.71715984147952,12.156783355350065
204,4,96.5,2.5,245.64999999999998,51.69,24.125,12.9225
205,4165,158663.21,235.17000000000002,175656.46,41402.61,38.09440816326531,9.940602641056422
206,45,2107.66,13.65,2663.4900000000002,484.09,46.836888888888886,10.757555555555555
207,368,19938.18,2827.83,24608.94,2139.87,54.17983695652174,5.814864130434782
208,1950,69626.2,606.85,78846.68,16716.69,35.70574358974359,8.572661538461539
209,20501,511474.52,41262.26,675060.05,88412.67,24.94875957270377,4.312602799863421
210,3102,109788.67,188.92000000000002,116331.0,25912.47,35.392865892972274,8.353471953578337
211,80850,1599305.34,188782.86,2268814.33,201640.5,19.78114211502783,2.4940074211502785
212,2459,77928.12,106.15,87964.93,17791.0,31.690980073200485,7.235054900366002
213,4775,156478.46,441.08,173893.02,38171.98,32.77035811518324,7.994131937172775
214,184,4995.78,70.31,7331.09,1222.1,27.150978260869564,6.6418478260869565
215,4395,170753.53,7222.99,197791.04,38526.89,38.85177019340159,8.766072810011377
216,8797,431419.58,39189.21,499786.4,48530.87,49.0416710242128,5.51675230192111
217,2356,68995.12,687.66,77430.38,11530.31,29.28485568760611,4.894019524617996
218,3174,117572.47,212.46,131032.74,32031.57,37.04236609955892,10.091862003780719
