193	5955	163779.19	3537.75	196826.03	27.50	0.59	4.83	6.84
194	432	20353.97	2035.82	25720.86	47.12	4.71	6.11	9.75
195	3793	149096.28	5981.51	176869.80	39.31	1.58	7.58	6.15
196	3076	103027.82	2734.17	119952.94	33.49	0.89	6.32	6.17
197	6651	244511.61	9061.25	278764.52	36.76	1.36	6.32	6.63
198	5916	178104.39	2065.63	205783.47	30.11	0.35	4.85	7.17
199	6	314.30	62.42	431.10	52.38	10.40	10.00	7.19
200	1460	57176.46	574.50	65870.18	39.16	0.39	9.54	4.73
201	816	38462.41	156.61	41137.07	47.14	0.19	12.59	4.00
202	1792	60401.66	1461.51	69690.56	33.71	0.82	6.35	6.13
203	1514	66187.78	1192.32	74719.55	43.72	0.79	12.16	4.06
204	4	96.50	2.50	245.65	24.12	0.62	12.92	4.75
205	4165	158663.21	235.17	175656.46	38.09	0.06	9.94	4.24
206	45	2107.66	13.65	2663.49	46.84	0.30	10.76	5.50
207	368	19938.18	2827.83	24608.94	54.18	7.68	5.81	11.50
208	1950	69626.20	606.85	78846.68	35.71	0.31	8.57	4.72
209	20501	511474.52	41262.26	675060.05	24.95	2.01	4.31	7.64
210	3102	109788.67	188.92	116331.00	35.39	0.06	8.35	4.49
211	80850	1599305.34	188782.86	2268814.33	19.78	2.33	2.49	11.25
212	2459	77928.12	106.15	87964.93	31.69	0.04	7.24	4.94
213	4775	156478.46	441.08	173893.02	32.77	0.09	7.99	4.56
214	184	4995.78	70.31	7331.09	27.15	0.38	6.64	6.00
215	4395	170753.53	7222.99	197791.04	38.85	1.64	8.77	5.13
216	8797	431419.58	39189.21	499786.40	49.04	4.45	5.52	10.30
217	2356	68995.12	687.66	77430.38	29.28	0.29	4.89	6.72
218	3174	117572.47	212.46	131032.74	37.04	0.07	10.09	4.09
219	2690	142555.42	10236.58	165746.43	52.99	3.81	11.26	5.47
220	2617	89815.32	824.63	101906.13	34.32	0.32	8.02	4.86
221	188	6940.48	151.07	9219.09	36.92	0.80	8.17	6.00
222	3425	118788.78	164.28	127113.26	34.68	0.05	8.40	4.42
223	8454	285623.83	15616.27	355760.25	33.79	1.85	5.79	7.27
224	26427	534225.52	28679.15	721000.69	20.22	1.09	2.90	9.41
225	13692	452699.19	4118.39	509095.07	33.06	0.30	5.63	6.61
226	19984	656039.72	38058.02	791130.06	32.83	1.90	5.13	7.71
227	2387	73932.58	344.00	82208.39	30.97	0.14	6.41	5.37
228	5469	187061.60	2072.11	214732.51	34.20	0.38	6.83	5.75
229	166628	2698733.19	418330.07	4074497.66	16.20	2.51	2.19	11.17
230	297306	6059460.30	938556.93	8924065.32	20.38	3.16	2.85	10.52
231	139690	3016194.01	350425.04	4201948.81	21.59	2.51	3.28	9.16
232	32487	798485.83	28634.63	1009953.58	24.58	0.88	4.01	7.76
233	108198	1976364.83	260424.80	2897415.66	18.27	2.41	2.63	10.17
234	273350	4623929.03	689373.69	6944560.27	16.92	2.52	2.15	11.82
235	3810	124362.08	164.74	135679.56	32.64	0.04	7.67	4.64
236	427054	6325023.45	1103861.11	9636658.38	14.81	2.58	2.00	11.27
237	457903	6384811.85	1195742.12	10011137.58	13.94	2.61	1.80	12.12
238	200710	3281893.30	465141.38	4759246.99	16.35	2.32	2.43	9.77
239	271725	4304908.49	680316.31	6424953.15	15.84	2.50	2.26	10.48
240	436	16620.85	56.86	18156.32	38.12	0.13	9.75	4.27
